,Kasus harian,Kasus Impor,Kasus Lokal,Total kasus,Kasus aktif,% kasus aktif,"Sembuh
(baru)",Sembuh,Tingkat kesembuhan (seluruh kasus),Tingkat kesembuhan (closed cases),"Meninggal
(baru)","Meninggal
Dunia",Tingkat kematian (seluruh kasus),Tingkat kematian (closed cases),PDP,ODP,Suspek aktif,Jumlah spesimen diperiksa (dari 1 April),Jumlah orang diperiksa,Negatif,"Positif 
(=C)",Dalam Proses,Spesimen,Spesimen (PCR-TCM),Spesimen (Antigen),Orang yang dites,Orang yang dites (PCR-TCM),Orang yang dites (Antigen),Vaksinasi (ineligible),Jumlah test/juta penduduk,Test/Positif,Jumlah org yg dites / positif,Jumlah Test/Positif harian,Positif / Jumlah Tes,Positive rate harian,Case Growth Rate,Tingkat positivitas mingguan,Jumlah spesimen diperiksa (rata-rata 7 hari),Jumlah orang diperiksa (rata-rata 7 hari),Rasio spesimen/orang diperiksa (rata-rata 7 hari),,Dosis pertama,Dosis kedua,Dosis ketiga,Dosis pertama (%),Dosis kedua (%),Dosis pertama (harian),Dosis kedua (harian),Dosis harian,Dosis pertama (mingguan),Dosis kedua (mingguan),Rata2 dosis harian (mingguan),Dosis pertama (SDM kesehatan),Dosis kedua (SDM kesehatan),Dosis ketiga (SDM kesehatan),Dosis pertama (SDM kesehatan) %,Dosis kedua (SDM kesehatan) %,Dosis pertama (petugas publik),Dosis kedua (petugas publik),Dosis pertama (petugas publik) %,Dosis kedua (petugas publik) %,Dosis pertama (lansia),Dosis kedua (lansia),Dosis pertama (lansia) %,Dosis kedua (lansia) %,Dosis pertama (warga umum),Dosis kedua (warga umum),Dosis pertama (remaja),Dosis kedua (remaja),Dosis pertama (Vakgor),Dosis kedua (Vakgor),Test PCR Orang Nasional Rata-rata 7 hari,Pos Rate Nasional - rata-rata 7 hari,Test Orang DKI,Positif DKI,,Pos Rate DKI,Pos Rate DKI - 7 harian,NON DKI,Positif Non DKI,,Pos Rate Non DKI,Pos Rate Non DKI - 7 harian,CFR
3/12/2020,35,,,69,60,86.96%,2,5,7.25%,55.56%,0,4,5.80%,44.44%,,,,"1,005","1,005",917,69,19,,,,143,,,,4,14.57,14.57,4.09,6.87%,24.82%,102.94%,9.72%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/13/2020,27,,,96,83,86.46%,3,8,8.33%,61.54%,1,5,5.21%,38.46%,,,,"1,205","1,205","1,109",96,0,,,,200,,,,4,12.55,12.55,7.41,7.97%,12.33%,39.13%,11.26%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/14/2020,21,,,117,104,88.89%,0,8,6.84%,61.54%,0,5,4.27%,38.46%,,,,"1,293","1,293","1,167",117,9,,,,88,,,,5,11.05,11.05,4.19,9.05%,26.58%,21.88%,12.63%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/15/2020,17,,,134,121,90.30%,0,8,5.97%,61.54%,0,5,3.73%,38.46%,,,,"1,230","1,230","1,083",134,13,,,,,,,,5,9.18,9.18,0,10.89%,,14.53%,14.94%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/16/2020,38,,,172,156,90.70%,1,9,5.23%,56.25%,2,7,4.07%,43.75%,,,,"1,372","1,372","1,178",172,22,,,,120,,,,5,7.98,7.98,3.16,12.54%,28.57%,28.36%,16.78%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/17/2020,55,,,227,197,86.78%,2,11,4.85%,36.67%,12,19,8.37%,63.33%,,,,"1,592","1,592","1,342",227,23,,,,197,,,,6,7.01,7.01,3.58,14.26%,25.11%,31.98%,21.07%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/18/2020,82,,,309,269,87.06%,4,15,4.85%,37.50%,6,25,8.09%,62.50%,,,,"1,898","1,898","1,570",309,19,,,,287,,,,7,6.14,6.14,3.5,16.28%,26.45%,36.12%,26.57%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/19/2020,60,,,369,321,86.99%,1,16,4.34%,33.33%,7,32,8.67%,66.67%,,,,"2,028","2,028","1,643",369,18,,,,112,,,,8,5.5,5.5,1.87,18.20%,45.80%,19.42%,29.88%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/20/2020,81,,,450,392,87.11%,4,20,4.44%,34.48%,6,38,8.44%,65.52%,,,,"2,365","2,365","1,895",450,20,,,,317,,,,9,5.26,5.26,3.91,19.03%,24.18%,21.95%,31.58%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/21/2020,64,,,514,437,85.02%,9,29,5.64%,37.66%,10,48,9.34%,62.34%,,,,"2,438","2,438","1,904",514,20,,,,53,,,,9,4.74,4.74,0.83,21.08%,87.67%,14.22%,36.56%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.52%
